
### Launch sites
  LaunchSite  launches
CCAFS SLC 40        55
  KSC LC 39A        22
 VAFB SLC 4E        13

### Success by site
  LaunchSite  success_rate_pct
  KSC LC 39A              77.3
 VAFB SLC 4E              76.9
CCAFS SLC 40              60.0

### Payload ranking
 FlightNumber  PayloadMass  Class
           69      15600.0      1
           74      15600.0      1
           77      15600.0      0
           72      15400.0      1
           75      15400.0      0

### Yearly trend
 Year  launches  success_rate_pct
 2010         1               0.0
 2012         1               0.0
 2013         3               0.0
 2014         6              33.3
 2015         6              33.3
 2016         8              62.5
 2017        18              83.3
 2018        18              61.1
 2019        10              90.0
 2020        19              84.2

### Orbit analysis
Orbit  launches  success_rate_pct
  SSO         5             100.0
  HEO         1             100.0
  GEO         1             100.0
ES-L1         1             100.0
 VLEO        14              85.7
  LEO         7              71.4
   PO         9              66.7
  MEO         3              66.7
  ISS        21              61.9
  GTO        27              51.9
   SO         1               0.0
